,year,age,mean,v
1,2011,1,3.94,7.29
2,2011,2,292.44,3221.6976
3,2011,3,101.34,502.6564
4,2011,4,101.03,518.4729
5,2011,5,200.04,1337.3649
6,2011,6,109.57,556.96
7,2011,7,428.8,3571.2576
8,2011,8,287.38,2131.6689
9,2011,9,328.01,2245.8121
10,2011,10,37.76,105.0625
11,2011,11,42.97,135.9556
12,2011,12,52.3,201.0724
13,2011,13,22.15,49.7025
14,2011,14,3.28,5.7121
15,2011,15,8.64,8.4681
31,2012,1,6.48,6.7081
32,2012,2,10.31,9.7344
33,2012,3,65.47,140.1856
34,2012,4,30.62,36.1201
35,2012,5,97.8,257.2816
36,2012,6,239.37,1080.4369
37,2012,7,127.02,388.09
38,2012,8,572.22,2509.0081
39,2012,9,136.18,469.1556
40,2012,10,205.92,787.3636
41,2012,11,15.28,15.6816
42,2012,12,12.71,10.1124
43,2012,13,25.79,42.1201
44,2012,14,5.9,5.3361
45,2012,15,2.32,0.6084
61,2013,1,0.35,0.0729
62,2013,2,3.12,2.1904
63,2013,3,19.64,24.6016
64,2013,4,164.85,738.7524
65,2013,5,34.15,50.41
66,2013,6,67.81,151.0441
67,2013,7,172.91,590.49
68,2013,8,79.69,198.2464
69,2013,9,302.4,1100.2489
70,2013,10,51.38,99.2016
71,2013,11,86.91,234.7024
72,2013,12,7.63,3.3489
73,2013,13,4.94,3.24
74,2013,14,7.66,7.3984
75,2013,15,2.12,1.5876
91,2015,1,0.65,0.1849
92,2015,2,2.83,1.3924
93,2015,3,5.94,2.1316
94,2015,4,21.88,8.1225
95,2015,5,21.28,8.9401
96,2015,6,94.88,49.5616
97,2015,7,15,5.3361
98,2015,8,14.88,4.7089
99,2015,9,90.33,44.7561
100,2015,10,25.03,10.1761
101,2015,11,152.11,72.4201
102,2015,12,7.67,2.3409
103,2015,13,42.33,16.3216
104,2015,14,1.6,0.81
105,2015,15,5.88,1.7161
106,2016,1,0.19,0.0784
107,2016,2,1.8,0.81
108,2016,3,21.89,22.4676
109,2016,4,26.39,27.3529
110,2016,5,64.5,98.01
111,2016,6,42.92,49.5616
112,2016,7,98.64,179.8281
113,2016,8,25.23,24.5025
114,2016,9,25.57,27.8784
115,2016,10,107.36,235.9296
116,2016,11,24.12,26.6256
117,2016,12,110.03,236.5444
118,2016,13,12.38,10.4976
119,2016,14,27.47,33.5241
120,2016,15,5.41,2.4649
121,2017,1,0.6219,0.12823561
122,2017,2,16.0379,36.288576
123,2017,3,49.9626,304.5025
124,2017,4,244.8377,1233.561908
125,2017,5,60.2145,174.3033658
126,2017,6,142.7864,716.204644
127,2017,7,79.4098,303.9548165
128,2017,8,180.2583,907.8711348
129,2017,9,35.3483,76.44529489
130,2017,10,22.5468,45.89385025
131,2017,11,173.9316,899.3341232
132,2017,12,14.8516,24.54409764
133,2017,13,147.338,694.3804712
134,2017,14,1.5085,0.772641
135,2017,15,44.173,75.43964736
16,2018,1,1.26476,1.222041812
21,2018,2,22.13047,36.81795413
310,2018,3,19.19334,22.91077371
46,2018,4,46.58943,60.98407319
51,2018,5,199.08133,261.530673
610,2018,6,104.17949,150.5506914
76,2018,7,116.45179,164.0920008
81,2018,8,52.99101,66.58935365
910,2018,9,119.06279,195.1013923
1010,2018,10,32.42265,39.73259942
1110,2018,11,19.15882,22.71704374
1210,2018,12,122.63215,194.9098002
136,2018,13,24.2115,44.44662225
141,2018,14,99.69331,141.685456
151,2018,15,22.31132,28.60720104
137,2019,1,0.597943943,0.462709476
1211,2019,2,1.81190122,1.658934087
142,2019,3,140.0982577,413.4686917
152,2019,4,57.05316123,90.23558466
161,2019,5,152.3704582,321.9860779
17,2019,6,393.4865519,733.689879
18,2019,7,78.7860692,91.33778122
19,2019,8,127.0633281,195.1680952
20,2019,9,41.26360242,45.11023909
22,2019,10,79.91665543,103.0877012
311,2019,11,43.74591223,49.36203855
47,2019,12,21.71952849,20.22202156
52,2019,13,123.3484194,190.3991247
611,2019,14,21.766321,20.38299821
77,2019,15,69.56810347,81.79443848
82,2019,16,9.53012374,6.625225297
911,2019,17,6.35337789,4.667946598
1011,2019,18,1.231215895,0.850455456
1111,2019,19,0.754883663,0.591606245
138,2019,20,1.044654335,0.842302487
610,2020,1,1.498810798,1.395885572
76,2020,2,7.039721378,5.996772653
81,2020,3,45.43017409,76.03738585
910,2020,4,469.3220781,1233.051471
1010,2020,5,37.35213341,47.54771904
1110,2020,6,65.31593067,94.90088116
1210,2020,7,223.7545523,455.6961348
136,2020,8,58.9774633,69.5152624
141,2020,9,82.23954298,99.52679161
151,2020,10,48.48218358,49.46198301
137,2020,11,87.08797954,113.9102339
1211,2020,12,45.00026626,48.79304197
142,2020,13,39.83583907,43.08693449
152,2020,14,89.11236582,122.3779954
161,2020,15,16.04849885,10.9530638
17,2020,16,52.33464107,58.16431932
18,2020,17,2.392672105,1.716335166
19,2020,18,4.796531708,3.143965096
1,2021,1,3.05226443,5.548680
2,2021,10,56.99093,93.823274
3,2021,11,23.001882705,29.297401
4,2021,12,38.0744110125,46.337389
5,2021,13,22.8213518225,25.134479
6,2021,14,5.4857556225,6.163431
7,2021,15,68.44171724,111.603076
8,2021,16,1.4283380975,1.632267
9,2021,17,19.280833975,22.080167
10,2021,2,1.277573465,1.439367
11,2021,3,13.0472798525,24.882879
12,2021,4,71.42885732,186.508728
13,2021,5,1076.73190138,1983.974182
14,2021,6,54.6176449325,105.271227
15,2021,7,86.4120842825,199.234755
16,2021,8,181.0129026,377.307120
17,2021,9,41.3793171175,57.462434
1,2022,1,1.343,1.590121
2,2022,2,14.604,17.986081
3,2022,3,7.765,8.145316
4,2022,4,53.722,159.213924
5,2022,5,85.501,147.914244
6,2022,6,983.814,14248.480689
7,2022,7,49.257,514.745344
8,2022,8,74.136,243.516025
9,2022,9,131.778,478.209424
10,2022,10,21.493,27.040000
11,2022,11,20.002,16.048036
12,2022,12,13.628,10.705984
13,2022,13,23.131,22.896225
14,2022,14,11.401,11.383876
15,2022,15,38.216,162.256644
